priority_band,priority_score,query_or_intent,query_window,query_impressions,query_clicks,query_ctr_pct,query_avg_position,editorial_owner_page,page_window,page_impressions,page_clicks,page_ctr_pct,page_avg_position,pair_status,visibility_score,click_gap_score,consultation_fit_score,owner_readiness_score,recommended_action,source_path,evidence_note
P0_PROTECT_MEASURE,18,giffgaff,2026-07-13..2026-07-19,368,6,1.63,7.52,/guides/6-pitfalls/,2026-07-13..2026-07-19,~1300,76,5.98,6.24,not_available_independent_query_and_page_aggregates,5,4,2,5,"保护支柱页；先导出 query×page，研究泛品牌低 CTR 是否来自官方站竞争/摘要不匹配，不先大改",docs/research/bing-webmaster-live-2026-07-20.md,"owner 来自 query-ownership-r27.tsv；页面数据不能证明该 query 落在该页"
P0_PROTECT_EXPAND,19,gg卡,2026-07-13..2026-07-19,72,6,8.33,4.15,/guides/6-pitfalls/,2026-07-13..2026-07-19,~1300,76,5.98,6.24,not_available_independent_query_and_page_aggregates,4,2,4,5,"保留 GG 卡中文支柱定位；从购买前判断进入 answers/shop/contact，从购买后进入诊断",docs/research/bing-webmaster-live-2026-07-20.md,"高相关但没有 query-page 配对；不可把页面 76 clicks 归给该词"
P1_ZERO_CLICK,18,giffgaff esim,2026-07-13..2026-07-19,22,0,0.00,9.09,/more/03-esim/,2026-07-13..2026-07-19,9,0,0.00,4.22,not_available_independent_query_and_page_aggregates,3,5,3,4,"先查 query×page；区分官方 App 切换页与二维码安全页的摘要，避免两个页面承诺同一意图",docs/research/bing-webmaster-live-2026-07-20.md,"page 行为 www 版本；/more/04-esim-qrcode/ 另有 14 impressions/2 clicks"
P1_COMMERCIAL_SMALL_SAMPLE,18,giffgaff购买,2026-07-13..2026-07-19,5,2,40.00,7.00,/shop/,2026-07-13..2026-07-19,14,6,42.86,7.43,not_available_independent_query_and_page_aggregates,2,1,5,5,"保持交易意图与独立第三方身份；从避坑/answers/英国选卡页增加准确购买前分流，先核对库存与政策",docs/research/bing-webmaster-live-2026-07-20.md,"CTR 高但样本极小；不能推断订单或咨询"
P1_PREPURCHASE,17,英国gg卡,2026-07-13..2026-07-19,8,1,12.50,6.63,/guides/8-uk-sim-choice/,2026-07-13..2026-07-19,,,,,not_available_owner_has_no_transcribed_page_row,2,2,5,3,"用停留时长/覆盖/合约/保号问题承接选卡，再进入咨询；等待 owner 页一个完整 Bing 窗口",docs/research/bing-webmaster-live-2026-07-20.md,"owner 来自 query-owners.tsv；本地没有该页同期 BWT 行"
P1_ACTIVATION_SNIPPET,14,gg卡激活,2026-07-13..2026-07-19,3,1,33.33,4.33,/guides/2-activate/,2026-07-13..2026-07-19,36,0,0.00,6.92,not_available_independent_query_and_page_aggregates,1,1,4,4,"先查实际 landing page；激活 owner 页应突出激活码/账号/失败分层和可咨询边界，不承诺成功",docs/research/bing-webmaster-live-2026-07-20.md,"query 有 click 而候选 owner page 为 0 click，恰好证明两表不可强连"
P1_ACTIVATION_ZERO_CLICK,18,giffgaff激活时间,2026-07-13..2026-07-19,2,0,0.00,4.50,/guides/2-activate/,2026-07-13..2026-07-19,36,0,0.00,6.92,not_available_independent_query_and_page_aggregates,1,5,4,4,"取得 query×page 后，在摘要直接区分正常处理时间与异常排查；动态时限必须复核官方来源",docs/research/bing-webmaster-live-2026-07-20.md,"2 impressions；高分来自零点击和高咨询接近度，不代表高需求"
P1_ACTIVATION_ZERO_CLICK,18,giffgaff激活码,2026-07-13..2026-07-19,2,0,0.00,7.50,/guides/2-activate/,2026-07-13..2026-07-19,36,0,0.00,6.92,not_available_independent_query_and_page_aggregates,1,5,4,4,"取得 query×page 后，核对 title/description 是否明确激活码与 13 位序列号；失败再引导咨询",docs/research/bing-webmaster-live-2026-07-20.md,"2 impressions；不得收集或展示真实激活码"
P1_BALANCE_NEW_OWNER,15,如何查看giffgaff流量查询,2026-07-13..2026-07-19,2,0,0.00,4.50,/guides/9-number-balance-data-check/,2026-07-13..2026-07-19,,,,,not_available_new_page_outside_data_window,1,5,3,3,"观察 7/20 新页一个完整窗口；保持号码/Credit/plan/usage 分层，不再建重复查询页",docs/research/bing-webmaster-live-2026-07-20.md,"owner 页在该 Bing 窗口后新增，没有同期 page 数据"
P1_BALANCE_NEW_OWNER,15,giffgaff 卡查余额,2026-07-13..2026-07-19,2,0,0.00,3.00,/guides/9-number-balance-data-check/,2026-07-13..2026-07-19,,,,,not_available_new_page_outside_data_window,1,5,3,3,"观察新页；摘要明确 Credit 不等于套餐/流量，必要时进入账号/App 咨询",docs/research/bing-webmaster-live-2026-07-20.md,"owner 页在该 Bing 窗口后新增，没有同期 page 数据"
P1_COMPARISON_PAGE_GAP,19,G0与G2怎么选（页面机会；具体 query 未抄录）,2026-07-13..2026-07-19,,,,,/answers/,2026-07-13..2026-07-19,16,0,0.00,7.13,page_only_no_matching_query_row_in_local_transcription,4,5,5,0,"导出完整 41-query 与 query×page 后再改摘要；强调状态/控制风险/总成本并导向购买前咨询",docs/research/bing-webmaster-live-2026-07-20.md,"这是 page-only 机会；分数中的 visibility/owner 仅按页面证据人工归档，不能和 query 分数横比"
P2_MAINTENANCE,14,giffgaff保号,2026-07-13..2026-07-19,12,1,8.33,8.67,/guides/3-usage/,2026-07-13..2026-07-19,,,,,not_available_owner_has_no_transcribed_page_row,3,2,3,3,"保持规则页与 reminder 工具分工；在高风险/临近失效时提供咨询，不承诺永久保号",docs/research/bing-webmaster-live-2026-07-20.md,"owner 来自 query-owners.tsv；没有同期 owner page 行"
P2_APP,14,giffgaff app,2026-07-13..2026-07-19,11,1,9.09,5.55,/guides/3-app/,2026-07-13..2026-07-19,112,7,6.25,4.93,not_available_independent_query_and_page_aggregates,3,2,2,5,"保护已有页面；把下载/登录/看短信/查余额分成页面内清晰任务，无法登录再进入账号恢复",docs/research/bing-webmaster-live-2026-07-20.md,"query/page 同主题但仍无逐行配对"
P2_APP_LONGTAIL,11,giffgaff app 怎么看接受的短信呀？,2026-07-13..2026-07-19,4,1,25.00,4.00,/guides/3-app/,2026-07-13..2026-07-19,112,7,6.25,4.93,not_available_independent_query_and_page_aggregates,1,1,2,5,"在 App 页回答短信查看与线路收信的区别，并链到 signal 页；不为单个长尾新建页",docs/research/bing-webmaster-live-2026-07-20.md,"4 impressions 小样本"
P2_APP_DOWNLOAD,11,giffgaff下载,2026-07-13..2026-07-19,3,2,66.67,3.00,/guides/3-app/,2026-07-13..2026-07-19,112,7,6.25,4.93,not_available_independent_query_and_page_aggregates,1,1,2,5,"保留官方 App 下载/版本边界和安全链接；不因高 CTR 扩写重复页",docs/research/bing-webmaster-live-2026-07-20.md,"3 impressions；CTR 不可外推"
P2_NUMBER_LOOKUP,11,如何查看giffgaff手机号,2026-07-13..2026-07-19,4,1,25.00,5.25,/guides/9-number-balance-data-check/,2026-07-13..2026-07-19,,,,,not_available_new_page_outside_data_window,1,1,3,3,"观察新 owner 页；保持 Dashboard/App/官方短信入口与隐私边界，不新建平行页",docs/research/bing-webmaster-live-2026-07-20.md,"owner 页在该 Bing 窗口后新增"
P2_VOICEMAIL_PROTECT,10,giffgaff关闭语音信箱,2026-07-13..2026-07-19,8,2,25.00,7.25,/qa/07-voicemail-switch/,2026-07-13..2026-07-19,36,9,25.00,5.36,not_available_independent_query_and_page_aggregates,2,1,1,5,"保护精准答案；只在无信号/无法拨号时链到诊断或咨询，不强推买卡",docs/research/bing-webmaster-live-2026-07-20.md,"高 CTR、低商业意图、小样本"
P2_PLATFORM_SAFETY,10,giffgaff手机号平台,2026-07-13..2026-07-19,3,1,33.33,3.00,/guides/4-signal/,2026-07-13..2026-07-19,21,2,9.52,6.76,not_available_independent_query_and_page_aggregates,1,1,2,4,"按普通短信/特定平台风控分层；可提供诊断咨询，但禁止平台成功/KYC/OTP 保证",docs/research/bing-webmaster-live-2026-07-20.md,"query 意义有歧义；page 行为 www 版本"
HOLD_POLICY_SENSITIVE,11,拥有giff卡后能注册什么,2026-07-13..2026-07-19,1,1,100.00,9.00,/guides/4-signal/,2026-07-13..2026-07-19,21,2,9.52,6.76,not_available_independent_query_and_page_aggregates,1,1,3,3,"只做不保证平台接受/验证码送达的安全说明；没有平台官方证据或合格样本时不做列表页",docs/research/bing-webmaster-live-2026-07-20.md,"单次 impression/click；政策敏感，优先级被 HOLD 覆盖"
HOLD_TYPO,14,gaffgiff,2026-07-13..2026-07-19,9,0,0.00,5.78,/guides/6-pitfalls/,2026-07-13..2026-07-19,~1300,76,5.98,6.24,not_available_independent_query_and_page_aggregates,2,5,1,5,"不为拼写错误改 title 或建页；仅在完整导出显示持续量时观察搜索引擎是否已自动纠错",docs/research/bing-webmaster-live-2026-07-20.md,"低咨询适配；分数不能覆盖 HOLD 决策"
